Player,Team,Overall_Rating,data_provider_id,Athleticism_Rating,Kicking_Rating,Marking_Rating,Handballing_Rating,Tackling & Pressure_Rating,Hit-Ups & Groundball_Rating,Ruck_Rating
Josaia Delana,GWS Giants,,,,,,,,,
Joseph Fonti,GWS Giants,,,,,,,,,
Phoenix Gothard,GWS Giants,,,,,,,,,
Tom Green,GWS Giants,3.14,T.Green 23/1/2001,,,,,,,
Toby Greene,GWS Giants,3.49,T.Greene 25/9/1993,,,,,,,
Max Gruzewski,GWS Giants,2.19,M.Gruzewski 21/7/2004,,,,,,,
Riley Hamilton,GWS Giants,,,,,,,,,
Oliver Hannaford,GWS Giants,,,,,,,,,
Harrison Himmelberg,GWS Giants,,,,,,,,,
Jesse Hogan,GWS Giants,2.94,J.Hogan 12/2/1995,,,,,,,
Connor Idun,GWS Giants,2.9,C.Idun 29/7/2000,,,,,,,
Darcy Jones,GWS Giants,2.77,D.Jones 3/4/2004,,,,,,,
Joshua Kelly,GWS Giants,,,,,,,,,
Jayden Laverde,GWS Giants,,,,,,,,,
James Leake,GWS Giants,1.57,J.Leake 2/10/2005,,,,,,,
Nick Madden,GWS Giants,,,,,,,,,
Toby McMullin,GWS Giants,2.01,T.McMullin 6/8/2004,,,,,,,
Xavier O'Halloran,GWS Giants,1.97,X.O'Halloran 11/7/2000,,,,,,,
Clayton Oliver,GWS Giants,2.81,C.Oliver 22/7/1997,,,,,,,
Harrison Oliver,GWS Giants,,,,,,,,,
Jack Ough,GWS Giants,,,,,,,,,
Jake Riccardi,GWS Giants,2.99,J.Riccardi 7/11/1999,,,,,,,
Harry Rowston,GWS Giants,2.17,H.Rowston 12/8/2004,,,,,,,
Logan Smith,GWS Giants,,,,,,,,,
Conor Stone,GWS Giants,1.97,C.Stone 22/4/2002,,,,,,,
Jake Stringer,GWS Giants,2.74,J.Stringer 25/4/1994,,,,,,,
Oskar Taylor,GWS Giants,,,,,,,,,
Sam Taylor,GWS Giants,3.6,S.Taylor 5/5/1999,,,,,,,
Harvey Thomas,GWS Giants,2.75,H.Thomas 8/8/2005,,,,,,,
Nathan Wardius,GWS Giants,,,,,,,,,
Lachie Whitfield,GWS Giants,3.14,L.Whitfield 18/7/1994,,,,,,,
Karl Amon,Hawthorn,2.69,K.Amon 19/8/1995,,,,,,,
Cody Anderson,Hawthorn,,,,,,,,,
Tom Barrass,Hawthorn,2.73,T.Barrass 8/10/1995,,,,,,,
Josh Battle,Hawthorn,2.57,J.Battle 1/9/1998,,,,,,,
James Blanck,Hawthorn,,,,,,,,,
Sam Butler,Hawthorn,,,,,,,,,
Mabior Chol,Hawthorn,2.84,M.Chol 29/1/1997,,,,,,,
Massimo D'Ambrosio,Hawthorn,2.64,M.D'Ambrosio 5/6/2003,,,,,,,
Jack Dalton,Hawthorn,,,,,,,,,
Will Day,Hawthorn,3.15,W.Day 5/6/2001,,,,,,,
Calsher Dear,Hawthorn,,,,,,,,,
Jack Ginnivan,Hawthorn,,,,,,,,,
Ollie Greeves,Hawthorn,,,,,,,,,
Jack Gunston,Hawthorn,3.04,J.Gunston 16/10/1991,,,,,,,
Blake Hardwick,Hawthorn,2.67,B.Hardwick 5/2/1997,,,,,,,
Matt Hill,Hawthorn,,,,,,,,,
Henry Hustwaite,Hawthorn,,,,,,,,,
Jarman Impey,Hawthorn,2.73,J.Impey 9/7/1995,,,,,,,
Matthew LeRay,Hawthorn,,,,,,,,,
Mitchell Lewis,Hawthorn,,,,,,,,,
Connor MacDonald,Hawthorn,2.76,C.Macdonald 13/1/2003,,,,,,,
Bailey Macdonald,Hawthorn,,,,,,,,,
Cameron Mackenzie,Hawthorn,,,,,,,,,
Finn Maginness,Hawthorn,,,,,,,,,
William McCabe,Hawthorn,,,,,,,,,
Lloyd Meek,Hawthorn,2.76,L.Meek 22/4/1998,,,,,,,
Dylan Moore,Hawthorn,3.41,D.Moore 4/8/1999,,,,,,,
Harry Morrison,Hawthorn,2.7,H.Morrison 12/11/1998,,,,,,,
Noah Mraz,Hawthorn,,,,,,,,,
Cameron Nairn,Hawthorn,,,,,,,,,
Conor Nash,Hawthorn,2.32,C.Nash 28/7/1998,,,,,,,
Jai Newcombe,Hawthorn,2.93,J.Newcombe 2/8/2001,,,,,,,
Flynn Perez,Hawthorn,,,,,,,,,
Max Ramsden,Hawthorn,,,,,,,,,
Ned Reeves,Hawthorn,,,,,,,,,
Bodie Ryan,Hawthorn,,,,,,,,,
Aidan Schubert,Hawthorn,,,,,,,,,
Jack Scrimshaw,Hawthorn,,,,,,,,,
James Sicily,Hawthorn,3.13,J.Sicily 6/1/1995,,,,,,,
Jaime Uhr-Henry,Hawthorn,,,,,,,,,
Josh Ward,Hawthorn,2.36,J.Ward 15/8/2003,,,,,,,
Nick Watson,Hawthorn,2.64,N.Watson 24/2/2005,,,,,,,
Joshua Weddle,Hawthorn,,,,,,,,,
Jed Adams,Melbourne,,,,,,,,,
Oscar Berry,Melbourne,,,,,,,,,
Jake Bowey,Melbourne,2.94,J.Bowey 12/9/2002,,,,,,,
Tom Campbell,Melbourne,,,,,,,,,
Kade Chandler,Melbourne,3.02,K.Chandler 13/1/2000,,,,,,,
