MatchId,Player,Team,CoachesVotes,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches,Tackles,PressureActs,Hitouts,Round
20260005,Jack Buller,Collingwood,0.0,0.9,4.96,-0.1,-0.7,1.8,-2.0,20,24,0.0,0.0,77,3,3,6,50.0,84,47,0,3,2,2,1,2,0,17,0,1,0,0,0,0,0,0.0,0.0,0,1,0,2,10,0,0
20260005,Jack Crisp,Collingwood,0.0,14.7,12.05,0.0,13.2,9.3,4.1,109,97,0.04,0.0,74,10,16,26,88.5,237,297,2,9,8,9,8,8,8,4,0,9,3,1,0,0,0,0.0,0.0,0,8,3,2,9,0,0
20260005,Jamie Elliott,Collingwood,0.0,7.0,8.02,0.7,4.1,4.2,2.3,50,53,0.0,0.0,81,9,2,11,63.6,257,64,4,3,2,2,1,1,0,0,1,6,0,1,2,1,1,6.7,0.3,0,6,1,0,13,0,0
20260005,Jordan De Goey,Collingwood,4.0,18.2,9.74,-0.3,15.8,4.1,12.1,90,79,0.61,1.0,69,12,7,19,78.9,405,229,2,5,3,4,3,10,2,29,2,3,0,0,3,3,0,9.0,9.0,0,7,0,1,6,0,0
20260005,Josh Daicos,Collingwood,4.0,10.7,10.65,2.4,3.9,6.2,0.8,134,141,1.12,4.0,89,27,9,36,80.6,444,486,4,9,7,4,4,8,4,8,3,13,0,0,0,0,0,0.0,0.0,0,8,1,1,6,0,0
20260005,Lachie Schultz,Collingwood,0.0,7.8,8.49,0.0,7.5,2.4,4.7,108,112,0.08,0.0,82,13,7,20,80.0,277,310,0,3,0,3,0,5,1,0,0,9,0,0,2,2,0,5.7,6.3,0,5,0,4,22,0,0
20260005,Ned Long,Collingwood,0.0,6.8,9.31,1.5,1.6,3.3,0.3,70,66,0.0,0.0,71,4,9,13,61.5,75,173,1,6,6,2,2,5,0,54,2,1,0,0,0,0,0,0.0,0.0,1,2,0,9,25,0,0
20260005,Nick Daicos,Collingwood,10.0,9.3,15.71,0.7,5.6,3.1,5.0,117,136,2.94,94.0,85,25,16,41,75.6,844,545,5,6,4,1,1,23,2,71,4,7,0,0,2,0,2,5.6,-3.6,1,11,2,2,9,0,0
20260005,Patrick Lipinski,Collingwood,0.0,6.7,8.62,0.4,2.7,1.3,1.0,59,98,0.01,0.0,75,14,7,21,66.7,346,277,3,2,1,1,0,6,1,4,1,12,0,0,0,0,0,0.0,0.0,0,6,0,2,15,0,0
20260005,Roan Steele,Collingwood,0.0,7.4,6.71,0.0,6.6,0.4,5.5,53,53,0.0,0.0,75,6,5,11,90.9,223,90,1,1,0,1,0,6,3,0,0,2,0,0,1,1,0,4.0,2.0,1,4,2,3,14,0,0
20260005,Scott Pendlebury,Collingwood,2.0,14.7,10.45,4.2,4.8,8.5,0.3,112,101,0.09,0.0,55,9,17,26,80.8,31,415,2,11,9,6,6,7,4,12,3,8,0,0,0,0,0,0.0,0.0,5,10,1,4,13,0,0
20260005,Steele Sidebottom,Collingwood,0.0,6.7,9.51,3.9,1.2,2.0,3.2,55,49,0.01,0.0,72,9,6,15,80.0,275,192,2,3,3,1,1,7,2,17,1,3,0,0,0,0,0,0.0,0.0,1,6,1,1,12,0,0
20260005,Tim Membrey,Collingwood,0.0,-2.9,5.4,0.0,-6.7,3.3,-8.1,32,31,0.0,0.0,77,5,3,8,25.0,91,56,0,2,1,2,1,3,0,0,0,4,0,1,4,0,3,9.6,-6.6,0,6,0,1,5,0,0
20260005,Wil Parker,Collingwood,0.0,8.7,5.89,0.0,6.7,4.4,3.0,49,33,0.0,0.0,77,7,4,11,81.8,199,69,2,3,1,3,1,4,5,0,0,3,1,0,0,0,0,0.0,0.0,0,1,0,0,19,0,0
20260002,Bailey Smith,Geelong,0.0,7.6,13.8,-1.2,6.1,3.3,2.5,67,80,0.01,0.0,83,17,6,23,56.5,667,108,7,5,5,4,4,13,4,42,0,3,0,0,0,0,0,0.0,0.0,1,3,0,2,22,0,0
20260002,Brad Close,Geelong,0.0,2.2,8.42,0.0,2.0,2.6,0.0,21,18,0.0,0.0,82,2,6,8,50.0,70,60,1,4,4,4,4,3,0,0,0,1,0,0,1,0,0,2.1,-2.1,0,2,0,0,11,0,0
20260002,Connor O'Sullivan,Geelong,0.0,10.0,8.66,0.0,7.4,6.5,1.0,75,73,0.0,0.0,93,14,4,18,77.8,292,235,1,5,1,5,1,5,9,0,0,5,1,1,0,0,0,0.0,0.0,0,3,0,3,13,0,0
20260002,Gryan Miers,Geelong,0.0,3.5,11.46,1.6,-5.0,3.5,-6.9,75,121,0.01,0.0,78,16,12,28,64.3,404,443,4,5,3,3,2,12,2,0,1,10,0,0,1,0,1,2.6,-1.6,0,3,0,4,21,0,0
20260002,Jack Henry,Geelong,0.0,7.4,8.46,0.0,6.5,4.1,2.9,63,45,0.0,0.0,89,6,9,15,86.7,118,246,1,5,5,5,5,2,9,0,0,4,1,0,0,0,0,0.0,0.0,0,3,2,0,5,0,0
20260002,Jack Martin,Geelong,0.0,4.1,7.72,-1.5,2.7,4.6,-3.0,52,40,0.0,0.0,67,5,8,13,69.2,132,99,2,7,5,5,4,3,1,0,1,2,0,0,0,0,0,0.0,0.0,0,2,1,1,8,0,0
20260002,James Worpel,Geelong,0.0,9.5,9.66,5.5,-1.3,4.4,1.5,78,92,0.01,0.0,66,10,7,17,64.7,276,160,5,7,0,1,0,7,1,58,9,1,0,0,1,0,1,2.5,-1.5,0,3,1,11,29,0,0
20260002,Jhye Clark,Geelong,0.0,9.1,7.02,1.9,4.8,4.7,2.6,34,38,0.0,0.0,50,6,5,11,54.5,300,110,3,5,3,3,2,5,2,18,2,1,0,1,2,1,0,4.9,1.1,0,1,0,1,11,0,0
20260002,Lawson Humphries,Geelong,0.0,8.7,8.07,0.2,6.0,1.5,2.8,63,63,0.0,0.0,81,8,8,16,68.8,369,185,2,1,1,0,0,10,1,0,0,1,0,0,0,0,0,0.0,0.0,0,3,0,5,12,0,0
20260002,Mark Blicavs,Geelong,0.0,4.8,10.11,2.4,1.8,4.3,-1.4,49,62,0.0,0.0,77,5,10,15,73.3,-25,228,0,6,4,2,2,3,3,85,2,2,0,0,0,0,0,0.0,0.0,1,3,2,2,9,18,0
20260002,Mark O'Connor,Geelong,0.0,7.6,6.79,3.7,1.4,6.3,-2.6,80,79,0.0,0.0,82,6,11,17,76.5,137,259,0,8,4,4,3,6,4,42,2,4,0,0,1,0,1,4.3,-3.3,0,5,2,6,14,0,0
20260002,Max Holmes,Geelong,0.0,10.2,15.3,7.3,-1.7,11.0,-4.5,103,108,0.02,0.0,75,14,15,29,62.1,493,173,6,14,12,3,2,8,4,58,9,8,1,0,1,0,0,2.0,-2.0,0,3,1,5,24,0,0
20260002,Mitch Knevitt,Geelong,0.0,7.4,7.73,0.0,6.7,5.1,2.2,46,43,0.0,0.0,77,6,5,11,54.5,194,160,1,5,2,5,2,4,1,0,0,3,0,1,3,1,1,8.2,-1.2,1,5,0,0,10,0,0
20260002,Oisin Mullin,Geelong,0.0,1.2,6.38,-0.5,-0.2,0.6,-0.3,25,28,0.0,0.0,80,1,3,4,75.0,11,49,0,1,1,0,0,3,0,6,0,1,0,0,0,0,0,0.0,0.0,0,2,0,4,15,0,0
20260002,Oliver Dempsey,Geelong,0.0,22.6,10.88,3.2,18.3,9.0,12.5,109,94,0.02,0.0,85,8,12,20,85.0,228,114,1,10,8,8,6,4,2,0,2,4,0,1,6,4,1,22.0,3.0,0,9,2,2,8,0,0
20260002,Oliver Henry,Geelong,0.0,6.4,6.58,0.0,3.0,1.9,3.5,42,48,0.0,0.0,83,6,3,9,77.8,238,56,5,3,1,3,1,5,0,0,0,3,0,0,2,2,0,8.2,3.8,0,3,0,1,12,0,0
